@relation 'NotasProcesadas-weka.filters.unsupervised.attribute.Remove-R1,13-18'
@attribute Ejercicio-EC1 real [0,10]
@attribute Ejercicio-EC2 real [0,9.75]
@attribute Midterm real [0,8.7]
@attribute Ejercicio-EC3 real [0,10]
@attribute ExamenFebrero real [0,9.7]
@attribute NP-EC1 real [0,1]
@attribute NP-EC2 real [0,1]
@attribute NP-Midterm real [0,1]
@attribute NP-EC3 real [0,1]
@attribute NP-EFebrero real [0,1]
@attribute class {APROBADO,BIEN,SUSPENDIDO,NOTABLE,EXCELENTE}
@data
5.8,0,6.15,2,6.15,0,1,0,0,0,APROBADO
9.3,8,3.7,10,4.15,0,0,0,0,0,APROBADO
7.9,3.25,4.85,10,5.6,0,0,0,0,0,BIEN
5.1,7.5,7.05,2,6.5,0,0,0,0,0,BIEN
5.8,8.25,0,2,0,0,0,1,0,1,SUSPENDIDO
0,0,0,0,0,1,1,1,1,1,SUSPENDIDO
0,0,0,0,0,1,1,1,1,1,SUSPENDIDO
0,0,0,0,4.25,1,1,1,1,0,SUSPENDIDO
9.3,3.75,4.8,0,0,0,0,0,1,1,SUSPENDIDO
5.1,4.5,2,0,3.3,0,0,0,1,0,SUSPENDIDO
6.5,6.25,2.75,0,3,0,0,0,1,0,SUSPENDIDO
7.2,5.5,3.3,0,5.2,0,0,0,1,0,SUSPENDIDO
0,0,0,0,0,1,1,1,1,1,SUSPENDIDO
7,8,5.6,10,6.9,0,0,0,0,0,NOTABLE
10,6,7.35,10,5.9,0,0,0,0,0,NOTABLE
