@relation 'NotasProcesadas-weka.filters.unsupervised.attribute.Remove-R1,13-18'
@attribute Ejercicio-EC1 real [0,10]
@attribute Ejercicio-EC2 real [0,9.75]
@attribute Midterm real [0,8.7]
@attribute Ejercicio-EC3 real [0,10]
@attribute ExamenFebrero real [0,9.7]
@attribute NP-EC1 real [0,1]
@attribute NP-EC2 real [0,1]
@attribute NP-Midterm real [0,1]
@attribute NP-EC3 real [0,1]
@attribute NP-EFebrero real [0,1]
@attribute class {APROBADO,BIEN,SUSPENDIDO,NOTABLE,EXCELENTE}
@data
7.9,0,6.5,2,5.5,0,1,0,0,0,APROBADO
7.2,5.5,3.95,10,5.5,0,0,0,0,0,BIEN
7.9,8.25,7.45,0,6.15,0,0,0,1,0,BIEN
0,0,4.6,0,0,1,1,0,1,1,SUSPENDIDO
7.2,0,3.75,10,4.2,0,0,0,0,0,SUSPENDIDO
4.6,4.75,3.3,2,0,0,0,0,0,1,SUSPENDIDO
9.3,5.5,5,10,1.85,0,0,0,0,0,SUSPENDIDO
5.8,0,0,0,0,0,1,1,1,1,SUSPENDIDO
0,0,0,2,0,1,1,1,0,1,SUSPENDIDO
8.6,0,0,0,0,0,1,1,1,1,SUSPENDIDO
7.1,1.75,5.7,0,3.55,0,0,0,1,0,SUSPENDIDO
9,9,8.7,10,7.7,0,0,0,0,0,NOTABLE
8.6,9.25,7.5,10,8.15,0,0,0,0,0,NOTABLE
