@relation 'NotasProcesadas-weka.filters.unsupervised.attribute.Remove-R1,13-18'
@attribute Ejercicio-EC1 real [0,10]
@attribute Ejercicio-EC2 real [0,9.75]
@attribute Midterm real [0,8.7]
@attribute Ejercicio-EC3 real [0,10]
@attribute ExamenFebrero real [0,9.7]
@attribute NP-EC1 real [0,1]
@attribute NP-EC2 real [0,1]
@attribute NP-Midterm real [0,1]
@attribute NP-EC3 real [0,1]
@attribute NP-EFebrero real [0,1]
@attribute class {APROBADO,BIEN,SUSPENDIDO,NOTABLE,EXCELENTE}
@data
4.4,5.75,0,0,2.85,0,0,1,1,0,SUSPENDIDO
7.1,6.25,8.1,10,7.9,0,0,0,0,0,NOTABLE
8.6,9.25,7.5,10,8.15,0,0,0,0,0,NOTABLE
5.8,5.25,3.4,0,1.05,0,0,0,1,0,SUSPENDIDO
6.7,9,7.85,2,8.7,0,0,0,0,0,NOTABLE
0,5.75,4.25,2,3.85,1,0,0,0,0,SUSPENDIDO
6.5,0,4.3,0,2.5,0,1,0,1,0,SUSPENDIDO
9,9,8.7,10,7.7,0,0,0,0,0,NOTABLE
0,0,1,0,0.5,1,1,0,1,0,SUSPENDIDO
0,5.75,0,0,0,1,0,1,1,1,SUSPENDIDO
7.2,5.5,3.3,0,5.2,0,0,0,1,0,SUSPENDIDO
7.9,8.25,5.75,7,4.05,0,0,0,0,0,APROBADO
0,0,0,0,0,1,1,1,1,1,SUSPENDIDO
9.3,0,4,0,6.6,0,1,0,1,0,APROBADO
0,1,0,0,2.15,1,0,1,1,0,SUSPENDIDO
0,0,0,0,0,1,1,1,1,1,SUSPENDIDO
4.8,4.25,6.25,2,6.45,0,0,0,0,0,BIEN
0,0,0,0,4.25,1,1,1,1,0,SUSPENDIDO
9.3,9,3,10,3.35,0,0,0,0,0,SUSPENDIDO
7.9,6.75,5.55,0,3.1,0,0,0,1,0,SUSPENDIDO
3.9,5.75,4.5,2,5.25,0,0,0,0,0,SUSPENDIDO
5.1,7,6.2,2,3.75,0,0,0,0,0,SUSPENDIDO
7.9,5.5,6.95,10,5.6,0,0,0,0,0,BIEN
5,0,0,0,1.35,0,1,1,1,0,SUSPENDIDO
5.8,1.25,8,2,5,0,0,0,0,0,APROBADO
8.6,7.5,3.65,2,3.25,0,0,0,0,0,SUSPENDIDO
10,6.25,8.45,2,7.55,0,0,0,0,0,NOTABLE
9.3,8.75,6.2,10,3.55,0,0,0,0,0,APROBADO
8.6,6.75,0,0,0,0,0,1,1,1,SUSPENDIDO
9.5,6.75,6.7,10,5.05,0,0,0,0,0,BIEN
6.5,8.75,7,10,7.9,0,0,0,0,0,NOTABLE
4.6,4.75,3.3,2,0,0,0,0,0,1,SUSPENDIDO
9.3,5.5,5,10,1.85,0,0,0,0,0,SUSPENDIDO
9,9,4.8,10,5.8,0,0,0,0,0,BIEN
0,0,2.5,0,2.4,1,0,0,1,0,SUSPENDIDO
7.2,5.5,3.95,10,5.5,0,0,0,0,0,BIEN
