@relation 'NotasProcesadas-weka.filters.unsupervised.attribute.Remove-R1,13-18'
@attribute Ejercicio-EC1 real [0,10]
@attribute Ejercicio-EC2 real [0,9.75]
@attribute Midterm real [0,8.7]
@attribute Ejercicio-EC3 real [0,10]
@attribute ExamenFebrero real [0,9.7]
@attribute NP-EC1 real [0,1]
@attribute NP-EC2 real [0,1]
@attribute NP-Midterm real [0,1]
@attribute NP-EC3 real [0,1]
@attribute NP-EFebrero real [0,1]
@attribute class {APROBADO,BIEN,SUSPENDIDO,NOTABLE,EXCELENTE}
@data
7.9,8.25,5.75,7,4.05,0,0,0,0,0,APROBADO
9.3,8.75,5.6,10,3.8,0,0,0,0,0,APROBADO
7.2,7,5.3,2,5.75,0,0,0,0,0,BIEN
9.3,0,5.9,10,5.8,0,1,0,0,0,BIEN
9.3,5.5,4.85,10,2.05,0,0,0,0,0,SUSPENDIDO
7.1,3,3.85,0,2.5,0,0,0,1,0,SUSPENDIDO
0,0,0,0,0,1,1,1,1,1,SUSPENDIDO
0,0,2.5,0,2.4,1,0,0,1,0,SUSPENDIDO
9.3,3.25,4,0,0,0,0,0,1,1,SUSPENDIDO
7.9,6.5,3.25,4,1.6,0,0,0,0,0,SUSPENDIDO
3.9,5.75,4.5,2,5.25,0,0,0,0,0,SUSPENDIDO
4.4,0,2.05,0,3.1,0,1,0,1,0,SUSPENDIDO
6.8,5.5,5.55,2,8,0,0,0,0,0,NOTABLE
10,8.25,6.25,0,7.2,0,0,0,1,0,NOTABLE
