@relation 'NotasProcesadas-weka.filters.unsupervised.attribute.Remove-R1,13-18'
@attribute Ejercicio-EC1 real [0,10]
@attribute Ejercicio-EC2 real [0,9.75]
@attribute Midterm real [0,8.7]
@attribute Ejercicio-EC3 real [0,10]
@attribute ExamenFebrero real [0,9.7]
@attribute NP-EC1 real [0,1]
@attribute NP-EC2 real [0,1]
@attribute NP-Midterm real [0,1]
@attribute NP-EC3 real [0,1]
@attribute NP-EFebrero real [0,1]
@attribute class {APROBADO,BIEN,SUSPENDIDO,NOTABLE,EXCELENTE}
@data
8.6,3.5,1.2,0,7.25,0,0,0,1,0,APROBADO
9.3,5.5,6,10,4.05,0,0,0,0,0,APROBADO
7.2,0,2.3,0,7.9,0,1,0,1,0,BIEN
9.3,8.5,3.75,10,5.8,0,0,0,0,0,BIEN
9.3,5,1.3,2,0,0,0,0,0,1,SUSPENDIDO
5.1,0,0,0,0,0,1,1,1,1,SUSPENDIDO
5.5,5.75,3.7,2,3.25,0,0,0,0,0,SUSPENDIDO
0,0,0,0,0,1,1,1,1,1,SUSPENDIDO
5.7,0,5,2,3.4,0,1,0,0,0,SUSPENDIDO
5.1,4,5.35,2,4.25,0,0,0,0,0,SUSPENDIDO
7.2,7.5,2.55,2,2.35,0,0,0,0,0,SUSPENDIDO
8.6,0,3.1,2,2.9,0,1,0,0,0,SUSPENDIDO
6.5,8,7.6,2,7.85,0,0,0,0,0,NOTABLE
10,8.75,5.85,10,8.35,0,0,0,0,0,NOTABLE
