@relation 'NotasProcesadas-weka.filters.unsupervised.attribute.Remove-R1,13-18'
@attribute Ejercicio-EC1 real [0,10]
@attribute Ejercicio-EC2 real [0,9.75]
@attribute Midterm real [0,8.7]
@attribute Ejercicio-EC3 real [0,10]
@attribute ExamenFebrero real [0,9.7]
@attribute NP-EC1 real [0,1]
@attribute NP-EC2 real [0,1]
@attribute NP-Midterm real [0,1]
@attribute NP-EC3 real [0,1]
@attribute NP-EFebrero real [0,1]
@attribute class {APROBADO,BIEN,SUSPENDIDO,NOTABLE,EXCELENTE}
@data
6.6,4.75,5.4,7,5,0,0,0,0,0,APROBADO
7.9,4.5,5.45,2,5,0,0,0,0,0,APROBADO
7.2,8,5.35,0,5.85,0,0,0,1,0,BIEN
8.6,6.5,4.2,10,6,0,0,0,0,0,BIEN
5.1,7,6.2,2,3.75,0,0,0,0,0,SUSPENDIDO
5.5,6.75,2.6,10,0,0,0,0,0,1,SUSPENDIDO
6.5,7.25,4.3,2,4,0,0,0,0,0,SUSPENDIDO
9.3,5.5,6.35,2,4.15,0,0,0,0,0,SUSPENDIDO
4.8,0,6,4,4.6,0,1,0,0,0,SUSPENDIDO
0,0,1,0,0.5,1,1,0,1,0,SUSPENDIDO
0,0,0,0,0,1,1,1,1,1,SUSPENDIDO
7.9,6.75,5.55,0,3.1,0,0,0,1,0,SUSPENDIDO
4.4,0,1.95,0,0,0,1,0,1,1,SUSPENDIDO
10,6.25,8.45,2,7.55,0,0,0,0,0,NOTABLE
9.3,8.75,6.6,10,5.65,0,0,0,0,0,NOTABLE
