@relation detodo
@attribute Expedient real [1,150]
@attribute Exercici-AC1 {7.9,10.0,NP,7.2,9.3,5.7,6.8,6.5,7.1,6.9,3.2,5.2,7.0,8.6,5.5,5.8,4.8,5.1,6.7,8.3,4.4,6.6,9.0,3.9,5.0,9.5,4.6}
@attribute Exercici-AC2 {NP,7.75,7.0,5.5,4.5,8.75,8.25,7.25,3.0,6.25,5.0,6.5,0.0,8.0,6.0,6.75,5.75,9.75,7.5,3.75,8.5,3.25,3.5,4.75,9.25,5.25,9.0,1.0,4.25,1.25,4.0,1.75}
@attribute Midterm {6.5,6.6,4.6,5.3,6.35,5.0,5.45,5.55,4.15,6.25,4.3,3.85,4.85,0.25,1.95,3.75,NP,3.1,6.9,2.3,6.0,3.7,6.2,1.8,7.6,3.6,2.95,6.65,5.6,2.6,5.7,3.3,6.15,1.9,7.05,7.1,4.35,8.0,4.25,8.55,3.5,2.75,1.3,4.5,7.0,7.8,4.2,7.45,4.1,1.2,1.1,2.0,4.8,5.9,7.2,3.8,2.05,3.25,3.55,5.4,8.1,7.5,3.4,7.85,8.7,1.0,5.75,4.0,5.85,3.0,6.95,3.65,8.45,5.35,6.7,2.55,2.5,3.95,7.35,2.25}
@attribute Exercici-AC3 {2.0,NP,10.0,4.0,7.0}
@attribute ExamenFebrer {5.5,6.0,NP,5.75,4.15,3.4,5.0,8.0,8.35,7.2,4.0,2.5,2.05,6.5,4.45,5.65,4.2,2.75,7.9,7.55,7.45,1.35,7.85,3.15,4.05,4.55,5.05,6.9,7.05,4.3,6.15,5.4,1.1,9.7,4.6,6.05,6.65,9.25,8.55,2.9,3.0,4.25,5.6,2.15,6.6,5.8,7.25,3.35,3.3,3.9,6.25,7.6,3.1,1.6,5.15,3.55,2.85,8.15,1.05,8.7,3.85,7.7,0.5,5.2,6.45,5.25,3.75,3.25,1.85,2.35,2.4,5.85,6.2,5.9,3.8}
@attribute sumFEBRER real [0,5.82]
@attribute sumMIDTERM real [0,1.74]
@attribute sumAC1 real [0,0.666667]
@attribute sumAC2 real [0,0.65]
@attribute sumAC3 real [0,0.666667]
@attribute resultat real [0,8.92333]
@attribute class {APROBADO,BIEN,SUSPENDIDO,NOTABLE,EXCELENTE}
@data
22,7.2,NP,6.9,NP,2.75,0,1.38,0.48,0,0,1.86,SUSPENDIDO
24,NP,NP,NP,NP,NP,0,0,0,0,0,0,SUSPENDIDO
25,7.9,7.0,6.0,2.0,7.55,4.53,1.2,0.526667,0.466667,0.133333,6.85667,NOTABLE
26,9.3,8.0,3.7,10.0,4.15,2.49,0.74,0.62,0.533333,0.666667,5.05,APROBADO
27,7.9,7.0,6.2,10.0,7.45,4.47,1.24,0.526667,0.466667,0.666667,7.37,NOTABLE
28,7.9,NP,1.8,NP,1.35,0,0.36,0.526667,0,0,0.886667,SUSPENDIDO
30,7.2,6.0,3.6,2.0,3.15,0,0.72,0.48,0.4,0.133333,1.73333,SUSPENDIDO
32,10.0,5.5,5.0,2.0,4.55,2.73,1,0.666667,0.366667,0.133333,4.89667,SUSPENDIDO
33,5.2,3.0,2.95,2.0,5.05,3.03,0.59,0.346667,0.2,0.133333,4.3,SUSPENDIDO
34,NP,NP,6.65,NP,NP,0,1.33,0,0,0,1.33,SUSPENDIDO
35,7.0,8.0,5.6,10.0,6.9,4.14,1.12,0.466667,0.533333,0.666667,6.92667,NOTABLE
37,8.6,NP,NP,NP,NP,0,0,0.573333,0,0,0.573333,SUSPENDIDO
38,5.5,6.75,2.6,10.0,NP,0,0.52,0.366667,0.45,0.666667,2.00333,SUSPENDIDO
39,NP,NP,5.7,10.0,7.05,4.23,1.14,0,0,0.666667,6.03667,BIEN
40,8.6,7.0,3.3,10.0,4.3,2.58,0.66,0.573333,0.466667,0.666667,4.94667,SUSPENDIDO
41,5.8,NP,6.15,2.0,6.15,3.69,1.23,0.386667,0,0.133333,5.44,APROBADO
42,NP,NP,NP,NP,NP,0,0,0,0,0,0,SUSPENDIDO
43,NP,NP,NP,NP,NP,0,0,0,0,0,0,SUSPENDIDO
44,9.3,5.75,5.6,2.0,5.4,3.24,1.12,0.62,0.383333,0.133333,5.49667,APROBADO
45,9.3,NP,1.9,NP,1.1,0,0.38,0.62,0,0,1,SUSPENDIDO
46,10.0,9.75,7.6,4.0,9.7,5.82,1.52,0.666667,0.65,0.266667,8.92333,EXCELENTE
47,4.8,NP,6.0,4.0,4.6,2.76,1.2,0.32,0,0.266667,4.54667,SUSPENDIDO
48,5.1,7.5,7.05,2.0,6.5,3.9,1.41,0.34,0.5,0.133333,6.28333,BIEN
49,9.3,6.25,7.1,2.0,6.05,3.63,1.42,0.62,0.416667,0.133333,6.22,BIEN
50,5.8,7.0,NP,10.0,NP,0,0,0.386667,0.466667,0.666667,1.52,SUSPENDIDO
51,6.7,3.75,4.35,2.0,NP,0,0.87,0.446667,0.25,0.133333,1.7,SUSPENDIDO
52,6.5,6.25,8.0,4.0,6.65,3.99,1.6,0.433333,0.416667,0.266667,6.70667,NOTABLE
53,9.3,8.75,6.2,10.0,9.25,5.55,1.24,0.62,0.583333,0.666667,8.66,EXCELENTE
54,5.8,7.25,4.25,NP,3.15,0,0.85,0.386667,0.483333,0,1.72,SUSPENDIDO
55,NP,5.5,NP,NP,NP,0,0,0,0.366667,0,0.366667,SUSPENDIDO
56,9.3,8.5,8.55,7.0,8.55,5.13,1.71,0.62,0.566667,0.466667,8.49333,NOTABLE
57,5.1,NP,3.5,2.0,2.9,0,0.7,0.34,0,0.133333,1.17333,SUSPENDIDO
58,6.5,6.25,2.75,NP,3.0,0,0.55,0.433333,0.416667,0,1.4,SUSPENDIDO
60,5.8,8.25,NP,2.0,NP,0,0,0.386667,0.55,0.133333,1.07,SUSPENDIDO
61,8.3,8.75,4.5,10.0,4.55,2.73,0.9,0.553333,0.583333,0.666667,5.43333,APROBADO
62,7.9,6.75,7.0,4.0,7.85,4.71,1.4,0.526667,0.45,0.266667,7.35333,NOTABLE
64,10.0,8.0,7.8,10.0,4.0,2.4,1.56,0.666667,0.533333,0.666667,5.82667,BIEN
65,NP,NP,NP,NP,NP,0,0,0,0,0,0,SUSPENDIDO
66,7.2,7.25,5.0,10.0,4.25,2.55,1,0.48,0.483333,0.666667,5.18,APROBADO
67,8.6,6.5,4.2,10.0,6.0,3.6,0.84,0.573333,0.433333,0.666667,6.11333,BIEN
68,NP,NP,NP,2.0,NP,0,0,0,0,0.133333,0.133333,SUSPENDIDO
69,7.9,3.25,4.85,10.0,5.6,3.36,0.97,0.526667,0.216667,0.666667,5.74,BIEN
70,7.9,8.25,7.45,NP,6.15,3.69,1.49,0.526667,0.55,0,6.25667,BIEN
71,9.3,7.0,4.1,2.0,2.15,0,0.82,0.62,0.466667,0.133333,2.04,SUSPENDIDO
72,5.8,7.0,4.5,2.0,6.6,3.96,0.9,0.386667,0.466667,0.133333,5.84667,BIEN
73,NP,NP,NP,NP,NP,0,0,0,0,0,0,SUSPENDIDO
75,7.9,NP,NP,2.0,7.9,4.74,0,0.526667,0,0.133333,5.4,APROBADO
77,5.8,NP,NP,NP,NP,0,0,0.386667,0,0,0.386667,SUSPENDIDO
78,5.1,5.75,1.1,NP,3.35,0,0.22,0.34,0.383333,0,0.943333,SUSPENDIDO
79,5.1,4.5,2.0,NP,3.3,0,0.4,0.34,0.3,0,1.04,SUSPENDIDO
80,9.3,3.75,4.8,NP,NP,0,0.96,0.62,0.25,0,1.83,SUSPENDIDO
81,9.3,NP,5.9,10.0,5.8,3.48,1.18,0.62,0,0.666667,5.94667,BIEN
82,NP,NP,NP,NP,NP,0,0,0,0,0,0,SUSPENDIDO
83,NP,NP,NP,NP,NP,0,0,0,0,0,0,SUSPENDIDO
84,8.6,6.75,4.85,10.0,3.9,2.34,0.97,0.573333,0.45,0.666667,5,APROBADO
85,7.9,7.5,7.2,2.0,6.25,3.75,1.44,0.526667,0.5,0.133333,6.35,BIEN
86,7.9,6.5,3.8,2.0,5.05,3.03,0.76,0.526667,0.433333,0.133333,4.88333,SUSPENDIDO
87,4.4,NP,1.95,NP,NP,0,0.39,0.293333,0,0,0.683333,SUSPENDIDO
88,NP,7.5,7.8,10.0,7.6,4.56,1.56,0,0.5,0.666667,7.28667,NOTABLE
89,4.4,NP,2.05,NP,3.1,0,0.41,0.293333,0,0,0.703333,SUSPENDIDO
90,7.9,6.5,3.25,4.0,1.6,0,0.65,0.526667,0.433333,0.266667,1.87667,SUSPENDIDO
91,7.2,8.25,3.55,10.0,5.15,3.09,0.71,0.48,0.55,0.666667,5.49667,APROBADO
92,6.6,4.75,5.4,7.0,5.0,3,1.08,0.44,0.316667,0.466667,5.30333,APROBADO
93,6.5,NP,NP,NP,NP,0,0,0.433333,0,0,0.433333,SUSPENDIDO
94,5.8,5.5,5.0,2.0,3.55,2.13,1,0.386667,0.366667,0.133333,4.01667,SUSPENDIDO
95,NP,NP,NP,NP,NP,0,0,0,0,0,0,SUSPENDIDO
96,4.4,5.75,NP,NP,2.85,0,0,0.293333,0.383333,0,0.676667,SUSPENDIDO
97,7.1,6.25,8.1,10.0,7.9,4.74,1.62,0.473333,0.416667,0.666667,7.91667,NOTABLE
98,8.6,9.25,7.5,10.0,8.15,4.89,1.5,0.573333,0.616667,0.666667,8.24667,NOTABLE
99,5.8,5.25,3.4,NP,1.05,0,0.68,0.386667,0.35,0,1.41667,SUSPENDIDO
100,6.7,9.0,7.85,2.0,8.7,5.22,1.57,0.446667,0.6,0.133333,7.97,NOTABLE
101,NP,5.75,4.25,2.0,3.85,2.31,0.85,0,0.383333,0.133333,3.67667,SUSPENDIDO
102,6.5,NP,4.3,NP,2.5,0,0.86,0.433333,0,0,1.29333,SUSPENDIDO
103,9.0,9.0,8.7,10.0,7.7,4.62,1.74,0.6,0.6,0.666667,8.22667,NOTABLE
104,NP,NP,1.0,NP,0.5,0,0.2,0,0,0,0.2,SUSPENDIDO
105,NP,5.75,NP,NP,NP,0,0,0,0.383333,0,0.383333,SUSPENDIDO
106,7.2,5.5,3.3,NP,5.2,3.12,0.66,0.48,0.366667,0,4.62667,SUSPENDIDO
107,7.9,8.25,5.75,7.0,4.05,2.43,1.15,0.526667,0.55,0.466667,5.12333,APROBADO
108,NP,NP,NP,NP,NP,0,0,0,0,0,0,SUSPENDIDO
109,9.3,NP,4.0,NP,6.6,3.96,0.8,0.62,0,0,5.38,APROBADO
110,NP,1.0,NP,NP,2.15,0,0,0,0.066667,0,0.066667,SUSPENDIDO
112,NP,NP,NP,NP,NP,0,0,0,0,0,0,SUSPENDIDO
